[2025-05-25 20:23:27] Starter gyro-kalibrering
[2025-05-25 20:23:33] Gyro offset målt: -0.15620 grader/s
[2025-05-25 20:23:33] Gyro-offset lagret til gyro_offset.txt.
[2025-05-25 20:23:33] Starter kompass-kalibrering
[2025-05-25 20:23:33] Starter rotasjon mot venstre
[2025-05-25 20:23:37] Lest kompass X=677, Y=-513
[2025-05-25 20:23:37] Lest kompass X=710, Y=-531
[2025-05-25 20:23:37] Lest kompass X=697, Y=-496
[2025-05-25 20:23:37] Lest kompass X=697, Y=-498
[2025-05-25 20:23:37] Lest kompass X=692, Y=-506
[2025-05-25 20:23:37] Lest kompass X=707, Y=-533
[2025-05-25 20:23:37] Lest kompass X=695, Y=-516
[2025-05-25 20:23:37] Lest kompass X=695, Y=-508
[2025-05-25 20:23:37] Lest kompass X=670, Y=-488
[2025-05-25 20:23:37] Lest kompass X=682, Y=-493
[2025-05-25 20:23:37] Lest kompass X=650, Y=-506
[2025-05-25 20:23:37] Lest kompass X=655, Y=-503
[2025-05-25 20:23:37] Lest kompass X=638, Y=-521
[2025-05-25 20:23:37] Lest kompass X=655, Y=-513
[2025-05-25 20:23:37] Lest kompass X=657, Y=-553
[2025-05-25 20:23:37] Lest kompass X=665, Y=-548
[2025-05-25 20:23:37] Lest kompass X=680, Y=-533
[2025-05-25 20:23:37] Lest kompass X=682, Y=-513
[2025-05-25 20:23:37] Lest kompass X=692, Y=-518
[2025-05-25 20:23:37] Lest kompass X=662, Y=-526
[2025-05-25 20:23:37] Lest kompass X=665, Y=-508
[2025-05-25 20:23:37] Lest kompass X=677, Y=-531
[2025-05-25 20:23:37] Lest kompass X=665, Y=-536
[2025-05-25 20:23:37] Lest kompass X=655, Y=-558
[2025-05-25 20:23:37] Lest kompass X=660, Y=-531
[2025-05-25 20:23:37] Lest kompass X=685, Y=-516
[2025-05-25 20:23:37] Lest kompass X=677, Y=-546
[2025-05-25 20:23:37] Lest kompass X=675, Y=-556
[2025-05-25 20:23:37] Lest kompass X=685, Y=-516
[2025-05-25 20:23:37] Lest kompass X=702, Y=-508
[2025-05-25 20:23:37] Lest kompass X=690, Y=-475
[2025-05-25 20:23:37] Lest kompass X=662, Y=-486
[2025-05-25 20:23:37] Lest kompass X=660, Y=-498
[2025-05-25 20:23:37] Lest kompass X=655, Y=-493
[2025-05-25 20:23:37] Lest kompass X=672, Y=-516
[2025-05-25 20:23:37] Lest kompass X=665, Y=-475
[2025-05-25 20:23:37] Lest kompass X=667, Y=-498
[2025-05-25 20:23:37] Lest kompass X=697, Y=-475
[2025-05-25 20:23:37] Lest kompass X=692, Y=-491
[2025-05-25 20:23:37] Lest kompass X=670, Y=-513
[2025-05-25 20:23:37] Lest kompass X=675, Y=-498
[2025-05-25 20:23:37] Lest kompass X=690, Y=-528
[2025-05-25 20:23:37] Lest kompass X=697, Y=-503
[2025-05-25 20:23:37] Lest kompass X=690, Y=-518
[2025-05-25 20:23:37] Lest kompass X=707, Y=-508
[2025-05-25 20:23:37] Lest kompass X=687, Y=-528
[2025-05-25 20:23:37] Lest kompass X=700, Y=-480
[2025-05-25 20:23:37] Lest kompass X=702, Y=-488
[2025-05-25 20:23:37] Lest kompass X=692, Y=-506
[2025-05-25 20:23:37] Lest kompass X=692, Y=-508
[2025-05-25 20:23:37] Lest kompass X=675, Y=-526
[2025-05-25 20:23:37] Lest kompass X=685, Y=-526
[2025-05-25 20:23:37] Lest kompass X=682, Y=-523
[2025-05-25 20:23:37] Lest kompass X=705, Y=-533
[2025-05-25 20:23:37] Lest kompass X=700, Y=-513
[2025-05-25 20:23:37] Lest kompass X=692, Y=-477
[2025-05-25 20:23:37] Lest kompass X=675, Y=-498
[2025-05-25 20:23:37] Lest kompass X=682, Y=-470
[2025-05-25 20:23:37] Lest kompass X=672, Y=-511
[2025-05-25 20:23:37] Lest kompass X=680, Y=-513
[2025-05-25 20:23:37] Lest kompass X=685, Y=-506
[2025-05-25 20:23:37] Lest kompass X=700, Y=-506
[2025-05-25 20:23:37] Lest kompass X=700, Y=-516
[2025-05-25 20:23:38] Lest kompass X=690, Y=-531
[2025-05-25 20:23:38] Lest kompass X=692, Y=-528
[2025-05-25 20:23:38] Lest kompass X=675, Y=-548
[2025-05-25 20:23:38] Lest kompass X=680, Y=-501
[2025-05-25 20:23:38] Lest kompass X=670, Y=-513
[2025-05-25 20:23:38] Lest kompass X=675, Y=-483
[2025-05-25 20:23:38] Lest kompass X=677, Y=-511
[2025-05-25 20:23:38] Lest kompass X=672, Y=-498
[2025-05-25 20:23:38] Lest kompass X=677, Y=-538
[2025-05-25 20:23:38] Lest kompass X=675, Y=-516
[2025-05-25 20:23:38] Lest kompass X=672, Y=-516
[2025-05-25 20:23:38] Lest kompass X=657, Y=-536
[2025-05-25 20:23:38] Lest kompass X=677, Y=-536
[2025-05-25 20:23:38] Lest kompass X=662, Y=-541
[2025-05-25 20:23:38] Lest kompass X=680, Y=-516
[2025-05-25 20:23:38] Lest kompass X=672, Y=-536
[2025-05-25 20:23:38] Lest kompass X=675, Y=-518
[2025-05-25 20:23:38] Lest kompass X=685, Y=-543
[2025-05-25 20:23:38] Lest kompass X=677, Y=-536
[2025-05-25 20:23:38] Lest kompass X=680, Y=-536
[2025-05-25 20:23:38] Lest kompass X=692, Y=-543
[2025-05-25 20:23:38] Lest kompass X=670, Y=-523
[2025-05-25 20:23:38] Lest kompass X=677, Y=-511
[2025-05-25 20:23:38] Lest kompass X=692, Y=-503
[2025-05-25 20:23:38] Lest kompass X=667, Y=-521
[2025-05-25 20:23:38] Lest kompass X=685, Y=-513
[2025-05-25 20:23:38] Lest kompass X=672, Y=-518
[2025-05-25 20:23:38] Lest kompass X=662, Y=-506
[2025-05-25 20:23:38] Lest kompass X=680, Y=-538
[2025-05-25 20:23:38] Lest kompass X=675, Y=-513
[2025-05-25 20:23:38] Lest kompass X=682, Y=-501
[2025-05-25 20:23:38] Lest kompass X=677, Y=-518
[2025-05-25 20:23:38] Lest kompass X=690, Y=-528
[2025-05-25 20:23:38] Lest kompass X=692, Y=-486
[2025-05-25 20:23:38] Lest kompass X=700, Y=-501
[2025-05-25 20:23:38] Lest kompass X=695, Y=-508
[2025-05-25 20:23:38] Lest kompass X=690, Y=-496
[2025-05-25 20:23:38] Lest kompass X=700, Y=-533
[2025-05-25 20:23:38] Lest kompass X=705, Y=-506
[2025-05-25 20:23:38] Lest kompass X=702, Y=-543
[2025-05-25 20:23:38] Lest kompass X=700, Y=-528
[2025-05-25 20:23:38] Lest kompass X=692, Y=-521
[2025-05-25 20:23:38] Lest kompass X=710, Y=-518
