[2025-04-28 22:54:54] [HINDRING] Starter sok etter aapning.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 42.4 grader, avstand 473.8 cm.
[2025-04-28 22:54:54] [HINDRING] Aapning funnet, starter kjore mot aapning.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 42.4 grader, avstand 473.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-61.3.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 42.4 grader, avstand 473.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-60.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 42.4 grader, avstand 473.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-61.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 38.8 grader, avstand 473.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -7e+01 grader, korrigerer med omega=-68.1.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 38.8 grader, avstand 473.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -7e+01 grader, korrigerer med omega=-72.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 38.8 grader, avstand 473.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-76.9.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 38.8 grader, avstand 473.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-81.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 39.3 grader, avstand 454.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-84.2.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 39.3 grader, avstand 454.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -9e+01 grader, korrigerer med omega=-87.2.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 39.3 grader, avstand 454.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -9e+01 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 39.3 grader, avstand 454.2 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -9e+01 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.8 grader, avstand 470.5 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-75.8.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.8 grader, avstand 470.5 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-79.9.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.8 grader, avstand 470.5 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-84.7.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 59.8 grader, avstand 470.5 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -9e+01 grader, korrigerer med omega=-89.4.
[2025-04-28 22:54:55] [SOK] Beste aapning pa 57.9 grader, avstand 551.8 cm.
[2025-04-28 22:54:55] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
